"Time","avg(D2_density)","avg(D2p_density)","avg(D_density)","avg(Dp_density)","avg(RDS1)","avg(RDS2)","avg(RDS3)","avg(RDS4)","avg(REI1)","avg(REI2)","avg(REI3)","avg(RFS1)","avg(RRC)","avg(SD)","avg(SD2)","avg(SD2p)","avg(SDp)","avg(Sem)","avg(Tp_density)","avg(em_density)","avg(kDS1)","avg(kDS2)","avg(kDS3)","avg(kDS4)","avg(kEI1)","avg(kEI2)","avg(kEI3)","avg(kFS1)","avg(kRC)"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.00000e-02,1.00000e+08,9.99666e+12,9.99051e+15,1.00029e+20,5.31303e+13,3.46469e+13,1.05203e+20,3.89803e+17,3.72515e+22,5.48464e+14,1.67479e+19,2.01028e+10,9.17502e+18,-3.71364e+22,-6.36241e+14,-1.22340e+20,3.73810e+22,3.72587e+22,9.99668e+00,1.00029e+20,5.31151e-15,3.46370e-15,1.05208e-13,3.89822e-16,3.72762e-14,5.48307e-14,1.67487e-14,2.00912e-30,9.16973e-22
2.00000e-02,1.00000e+08,9.99664e+12,9.98435e+15,1.00091e+20,5.31588e+13,3.46726e+13,1.05266e+20,3.89935e+17,3.72542e+22,5.48826e+14,1.67598e+19,2.01278e+10,9.18628e+18,-3.71390e+22,-6.36658e+14,-1.22416e+20,3.73838e+22,3.72614e+22,9.99668e+00,1.00091e+20,5.31106e-15,3.46412e-15,1.05207e-13,3.89713e-16,3.72788e-14,5.48329e-14,1.67502e-14,2.00912e-30,9.16961e-22
3.00000e-02,1.00000e+08,9.99662e+12,9.97819e+15,1.00153e+20,5.31872e+13,3.46984e+13,1.05330e+20,3.90067e+17,3.72569e+22,5.49189e+14,1.67717e+19,2.01529e+10,9.19756e+18,-3.71416e+22,-6.37075e+14,-1.22491e+20,3.73866e+22,3.72641e+22,9.99668e+00,1.00153e+20,5.31062e-15,3.46455e-15,1.05205e-13,3.89604e-16,3.72814e-14,5.48352e-14,1.67518e-14,2.00912e-30,9.16949e-22
4.00000e-02,1.00000e+08,9.99660e+12,9.97203e+15,1.00215e+20,5.32157e+13,3.47241e+13,1.05394e+20,3.90199e+17,3.72596e+22,5.49552e+14,1.67837e+19,2.01779e+10,9.20885e+18,-3.71442e+22,-6.37492e+14,-1.22567e+20,3.73893e+22,3.72667e+22,9.99668e+00,1.00215e+20,5.31017e-15,3.46497e-15,1.05204e-13,3.89496e-16,3.72840e-14,5.48375e-14,1.67534e-14,2.00912e-30,9.16937e-22
5.00000e-02,1.00000e+08,9.99658e+12,9.96588e+15,1.00278e+20,5.32442e+13,3.47499e+13,1.05458e+20,3.90331e+17,3.72622e+22,5.49915e+14,1.67956e+19,2.02030e+10,9.22016e+18,-3.71468e+22,-6.37910e+14,-1.22643e+20,3.73921e+22,3.72694e+22,9.99668e+00,1.00277e+20,5.30973e-15,3.46540e-15,1.05203e-13,3.89387e-16,3.72866e-14,5.48398e-14,1.67550e-14,2.00912e-30,9.16924e-22
6.00000e-02,1.00000e+08,9.99656e+12,9.95973e+15,1.00340e+20,5.32727e+13,3.47757e+13,1.05522e+20,3.90463e+17,3.72649e+22,5.50279e+14,1.68076e+19,2.02281e+10,9.23149e+18,-3.71494e+22,-6.38327e+14,-1.22719e+20,3.73948e+22,3.72721e+22,9.99668e+00,1.00339e+20,5.30928e-15,3.46583e-15,1.05202e-13,3.89278e-16,3.72892e-14,5.48420e-14,1.67566e-14,2.00912e-30,9.16912e-22
7.00000e-02,1.00000e+08,9.99654e+12,9.95358e+15,1.00402e+20,5.33013e+13,3.48015e+13,1.05586e+20,3.90595e+17,3.72676e+22,5.50643e+14,1.68196e+19,2.02533e+10,9.24282e+18,-3.71520e+22,-6.38746e+14,-1.22795e+20,3.73976e+22,3.72748e+22,9.99668e+00,1.00401e+20,5.30883e-15,3.46625e-15,1.05200e-13,3.89169e-16,3.72918e-14,5.48443e-14,1.67582e-14,2.00912e-30,9.16900e-22
8.00000e-02,1.00000e+08,9.99652e+12,9.94744e+15,1.00465e+20,5.33298e+13,3.48274e+13,1.05650e+20,3.90727e+17,3.72703e+22,5.51007e+14,1.68316e+19,2.02785e+10,9.25418e+18,-3.71546e+22,-6.39164e+14,-1.22871e+20,3.74003e+22,3.72775e+22,9.99668e+00,1.00463e+20,5.30839e-15,3.46668e-15,1.05199e-13,3.89061e-16,3.72944e-14,5.48466e-14,1.67598e-14,2.00912e-30,9.16888e-22
9.00000e-02,1.00000e+08,9.99650e+12,9.94130e+15,1.00527e+20,5.33584e+13,3.48533e+13,1.05714e+20,3.90859e+17,3.72730e+22,5.51371e+14,1.68436e+19,2.03037e+10,9.26554e+18,-3.71572e+22,-6.39583e+14,-1.22948e+20,3.74031e+22,3.72802e+22,9.99668e+00,1.00526e+20,5.30794e-15,3.46711e-15,1.05198e-13,3.88952e-16,3.72970e-14,5.48489e-14,1.67614e-14,2.00912e-30,9.16875e-22
1.00000e-01,1.00000e+08,9.99648e+12,9.93516e+15,1.00590e+20,5.33869e+13,3.48791e+13,1.05778e+20,3.90991e+17,3.72756e+22,5.51736e+14,1.68556e+19,2.03290e+10,9.27692e+18,-3.71598e+22,-6.40002e+14,-1.23024e+20,3.74059e+22,3.72828e+22,9.99668e+00,1.00588e+20,5.30750e-15,3.46753e-15,1.05197e-13,3.88843e-16,3.72997e-14,5.48512e-14,1.67630e-14,2.00912e-30,9.16863e-22
1.10000e-01,1.00000e+08,9.99645e+12,9.92903e+15,1.00652e+20,5.34155e+13,3.49051e+13,1.05842e+20,3.91123e+17,3.72783e+22,5.52101e+14,1.68676e+19,2.03542e+10,9.28832e+18,-3.71624e+22,-6.40421e+14,-1.23100e+20,3.74086e+22,3.72855e+22,9.99668e+00,1.00650e+20,5.30705e-15,3.46796e-15,1.05195e-13,3.88734e-16,3.73023e-14,5.48535e-14,1.67646e-14,2.00912e-30,9.16851e-22
1.20000e-01,1.00000e+08,9.99643e+12,9.92290e+15,1.00715e+20,5.34441e+13,3.49310e+13,1.05906e+20,3.91255e+17,3.72810e+22,5.52466e+14,1.68796e+19,2.03796e+10,9.29973e+18,-3.71650e+22,-6.40841e+14,-1.23176e+20,3.74114e+22,3.72882e+22,9.99668e+00,1.00713e+20,5.30660e-15,3.46839e-15,1.05194e-13,3.88626e-16,3.73049e-14,5.48557e-14,1.67661e-14,2.00912e-30,9.16838e-22
