"Time","avg(D2_density)","avg(D2p_density)","avg(D_density)","avg(Dp_density)","avg(RDS1)","avg(RDS2)","avg(RDS3)","avg(RDS4)","avg(REI1)","avg(REI2)","avg(REI3)","avg(RFS1)","avg(RRC)","avg(SD)","avg(SD2)","avg(SD2p)","avg(SDp)","avg(Sem)","avg(Tp_density)","avg(em_density)","avg(kDS1)","avg(kDS2)","avg(kDS3)","avg(kDS4)","avg(kEI1)","avg(kEI2)","avg(kEI3)","avg(kFS1)","avg(kRC)"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.00000e-02,1.00000e+13,5.99801e+12,9.99051e+15,1.00029e+20,5.31304e+18,3.46469e+18,6.31218e+19,2.33883e+17,3.72515e+22,5.48464e+19,1.00487e+19,2.01028e+10,9.17502e+18,-3.71647e+22,-6.36242e+19,-1.85580e+19,3.73291e+22,3.73105e+22,9.99668e+00,1.00029e+20,5.31151e-15,3.46370e-15,1.05208e-13,3.89822e-16,3.72762e-14,5.48307e-14,1.67487e-14,2.00912e-30,9.16973e-22
2.00000e-02,1.00000e+13,5.99800e+12,9.98434e+15,1.00091e+20,5.31588e+18,3.46727e+18,6.31602e+19,2.33962e+17,3.72542e+22,5.48827e+19,1.00559e+19,2.01278e+10,9.18628e+18,-3.71673e+22,-6.36659e+19,-1.85674e+19,3.73318e+22,3.73132e+22,9.99668e+00,1.00091e+20,5.31106e-15,3.46412e-15,1.05206e-13,3.89713e-16,3.72788e-14,5.48329e-14,1.67502e-14,2.00912e-30,9.16961e-22
3.00000e-02,1.00000e+13,5.99800e+12,9.97817e+15,1.00153e+20,5.31874e+18,3.46985e+18,6.31986e+19,2.34042e+17,3.72569e+22,5.49191e+19,1.00631e+19,2.01528e+10,9.19756e+18,-3.71700e+22,-6.37076e+19,-1.85767e+19,3.73345e+22,3.73160e+22,9.99668e+00,1.00153e+20,5.31061e-15,3.46455e-15,1.05205e-13,3.89604e-16,3.72814e-14,5.48352e-14,1.67518e-14,2.00912e-30,9.16949e-22
4.00000e-02,1.00000e+13,5.99800e+12,9.97201e+15,1.00215e+20,5.32159e+18,3.47243e+18,6.32371e+19,2.34121e+17,3.72596e+22,5.49554e+19,1.00703e+19,2.01778e+10,9.20885e+18,-3.71726e+22,-6.37494e+19,-1.85861e+19,3.73373e+22,3.73187e+22,9.99668e+00,1.00215e+20,5.31017e-15,3.46498e-15,1.05204e-13,3.89495e-16,3.72840e-14,5.48375e-14,1.67534e-14,2.00912e-30,9.16937e-22
5.00000e-02,1.00000e+13,5.99800e+12,9.96586e+15,1.00277e+20,5.32444e+18,3.47501e+18,6.32755e+19,2.34201e+17,3.72623e+22,5.49918e+19,1.00775e+19,2.02028e+10,9.22016e+18,-3.71752e+22,-6.37912e+19,-1.85955e+19,3.73400e+22,3.73214e+22,9.99668e+00,1.00277e+20,5.30972e-15,3.46540e-15,1.05203e-13,3.89386e-16,3.72866e-14,5.48398e-14,1.67550e-14,2.00912e-30,9.16924e-22
6.00000e-02,1.00000e+13,5.99800e+12,9.95970e+15,1.00340e+20,5.32730e+18,3.47759e+18,6.33140e+19,2.34281e+17,3.72650e+22,5.50282e+19,1.00847e+19,2.02279e+10,9.23148e+18,-3.71779e+22,-6.38331e+19,-1.86048e+19,3.73428e+22,3.73241e+22,9.99668e+00,1.00339e+20,5.30928e-15,3.46583e-15,1.05202e-13,3.89277e-16,3.72892e-14,5.48421e-14,1.67566e-14,2.00912e-30,9.16912e-22
7.00000e-02,1.00000e+13,5.99799e+12,9.95355e+15,1.00402e+20,5.33015e+18,3.48018e+18,6.33526e+19,2.34360e+17,3.72677e+22,5.50646e+19,1.00919e+19,2.02530e+10,9.24282e+18,-3.71805e+22,-6.38750e+19,-1.86142e+19,3.73455e+22,3.73269e+22,9.99668e+00,1.00402e+20,5.30883e-15,3.46626e-15,1.05200e-13,3.89168e-16,3.72919e-14,5.48443e-14,1.67582e-14,2.00912e-30,9.16900e-22
8.00000e-02,1.00000e+13,5.99799e+12,9.94740e+15,1.00464e+20,5.33301e+18,3.48277e+18,6.33911e+19,2.34440e+17,3.72704e+22,5.51011e+19,1.00992e+19,2.02782e+10,9.25417e+18,-3.71832e+22,-6.39169e+19,-1.86236e+19,3.73482e+22,3.73296e+22,9.99668e+00,1.00464e+20,5.30838e-15,3.46668e-15,1.05199e-13,3.89059e-16,3.72945e-14,5.48466e-14,1.67598e-14,2.00912e-30,9.16887e-22
9.00000e-02,1.00000e+13,5.99799e+12,9.94126e+15,1.00527e+20,5.33587e+18,3.48536e+18,6.34297e+19,2.34520e+17,3.72731e+22,5.51376e+19,1.01064e+19,2.03034e+10,9.26554e+18,-3.71858e+22,-6.39588e+19,-1.86330e+19,3.73510e+22,3.73324e+22,9.99668e+00,1.00526e+20,5.30794e-15,3.46711e-15,1.05198e-13,3.88951e-16,3.72971e-14,5.48489e-14,1.67614e-14,2.00912e-30,9.16875e-22
1.00000e-01,1.00000e+13,5.99799e+12,9.93512e+15,1.00589e+20,5.33873e+18,3.48795e+18,6.34683e+19,2.34600e+17,3.72758e+22,5.51741e+19,1.01136e+19,2.03286e+10,9.27692e+18,-3.71884e+22,-6.40008e+19,-1.86424e+19,3.73537e+22,3.73351e+22,9.99668e+00,1.00589e+20,5.30749e-15,3.46754e-15,1.05197e-13,3.88842e-16,3.72997e-14,5.48512e-14,1.67630e-14,2.00912e-30,9.16863e-22
1.10000e-01,1.00000e+13,5.99799e+12,9.92898e+15,1.00651e+20,5.34160e+18,3.49055e+18,6.35069e+19,2.34680e+17,3.72785e+22,5.52106e+19,1.01208e+19,2.03539e+10,9.28832e+18,-3.71911e+22,-6.40428e+19,-1.86518e+19,3.73565e+22,3.73378e+22,9.99668e+00,1.00651e+20,5.30704e-15,3.46797e-15,1.05195e-13,3.88733e-16,3.73023e-14,5.48535e-14,1.67646e-14,2.00912e-30,9.16851e-22
1.20000e-01,1.00000e+13,5.99799e+12,9.92284e+15,1.00714e+20,5.34446e+18,3.49314e+18,6.35456e+19,2.34759e+17,3.72812e+22,5.52472e+19,1.01281e+19,2.03791e+10,9.29973e+18,-3.71937e+22,-6.40848e+19,-1.86612e+19,3.73592e+22,3.73406e+22,9.99668e+00,1.00714e+20,5.30659e-15,3.46839e-15,1.05194e-13,3.88624e-16,3.73049e-14,5.48558e-14,1.67662e-14,2.00912e-30,9.16838e-22
1.30000e-01,1.00000e+13,5.99798e+12,9.91671e+15,1.00776e+20,5.34733e+18,3.49574e+18,6.35842e+19,2.34839e+17,3.72839e+22,5.52838e+19,1.01353e+19,2.04045e+10,9.31116e+18,-3.71964e+22,-6.41269e+19,-1.86706e+19,3.73620e+22,3.73433e+22,9.99668e+00,1.00776e+20,5.30615e-15,3.46882e-15,1.05193e-13,3.88515e-16,3.73075e-14,5.48581e-14,1.67678e-14,2.00912e-30,9.16826e-22
1.40000e-01,1.00000e+13,5.99798e+12,9.91059e+15,1.00839e+20,5.35019e+18,3.49834e+18,6.36229e+19,2.34919e+17,3.72866e+22,5.53204e+19,1.01426e+19,2.04298e+10,9.32260e+18,-3.71990e+22,-6.41690e+19,-1.86800e+19,3.73647e+22,3.73460e+22,9.99668e+00,1.00839e+20,5.30570e-15,3.46925e-15,1.05192e-13,3.88406e-16,3.73102e-14,5.48603e-14,1.67694e-14,2.00912e-30,9.16814e-22
1.50000e-01,1.00000e+13,5.99798e+12,9.90446e+15,1.00902e+20,5.35306e+18,3.50095e+18,6.36617e+19,2.34999e+17,3.72894e+22,5.53571e+19,1.01498e+19,2.04552e+10,9.33405e+18,-3.72017e+22,-6.42111e+19,-1.86894e+19,3.73675e+22,3.73488e+22,9.99668e+00,1.00901e+20,5.30525e-15,3.46968e-15,1.05191e-13,3.88297e-16,3.73128e-14,5.48626e-14,1.67710e-14,2.00912e-30,9.16801e-22
1.60000e-01,1.00000e+13,5.99798e+12,9.89834e+15,1.00964e+20,5.35593e+18,3.50355e+18,6.37004e+19,2.35079e+17,3.72921e+22,5.53938e+19,1.01571e+19,2.04806e+10,9.34552e+18,-3.72043e+22,-6.42532e+19,-1.86989e+19,3.73702e+22,3.73515e+22,9.99668e+00,1.00964e+20,5.30480e-15,3.47011e-15,1.05189e-13,3.88189e-16,3.73154e-14,5.48649e-14,1.67726e-14,2.00912e-30,9.16789e-22
1.70000e-01,1.00000e+13,5.99798e+12,9.89222e+15,1.01027e+20,5.35881e+18,3.50616e+18,6.37392e+19,2.35159e+17,3.72948e+22,5.54305e+19,1.01644e+19,2.05061e+10,9.35701e+18,-3.72070e+22,-6.42954e+19,-1.87083e+19,3.73730e+22,3.73543e+22,9.99668e+00,1.01027e+20,5.30435e-15,3.47053e-15,1.05188e-13,3.88080e-16,3.73180e-14,5.48672e-14,1.67742e-14,2.00912e-30,9.16777e-22
1.80000e-01,1.00000e+13,5.99797e+12,9.88611e+15,1.01090e+20,5.36168e+18,3.50877e+18,6.37780e+19,2.35239e+17,3.72975e+22,5.54672e+19,1.01717e+19,2.05316e+10,9.36851e+18,-3.72096e+22,-6.43376e+19,-1.87177e+19,3.73757e+22,3.73570e+22,9.99668e+00,1.01089e+20,5.30391e-15,3.47096e-15,1.05187e-13,3.87971e-16,3.73206e-14,5.48695e-14,1.67758e-14,2.00912e-30,9.16764e-22
1.90000e-01,1.00000e+13,5.99797e+12,9.88000e+15,1.01153e+20,5.36456e+18,3.51138e+18,6.38169e+19,2.35319e+17,3.73002e+22,5.55040e+19,1.01789e+19,2.05571e+10,9.38002e+18,-3.72123e+22,-6.43799e+19,-1.87272e+19,3.73785e+22,3.73598e+22,9.99668e+00,1.01152e+20,5.30346e-15,3.47139e-15,1.05186e-13,3.87862e-16,3.73232e-14,5.48718e-14,1.67774e-14,2.00912e-30,9.16752e-22
2.00000e-01,1.00000e+13,5.99797e+12,9.87389e+15,1.01216e+20,5.36743e+18,3.51400e+18,6.38557e+19,2.35399e+17,3.73029e+22,5.55407e+19,1.01862e+19,2.05826e+10,9.39155e+18,-3.72149e+22,-6.44222e+19,-1.87366e+19,3.73812e+22,3.73625e+22,9.99668e+00,1.01215e+20,5.30301e-15,3.47182e-15,1.05184e-13,3.87753e-16,3.73259e-14,5.48741e-14,1.67790e-14,2.00912e-30,9.16740e-22
2.10000e-01,1.00000e+13,5.99797e+12,9.86778e+15,1.01278e+20,5.37031e+18,3.51662e+18,6.38946e+19,2.35479e+17,3.73056e+22,5.55776e+19,1.01935e+19,2.06082e+10,9.40310e+18,-3.72176e+22,-6.44645e+19,-1.87461e+19,3.73840e+22,3.73653e+22,9.99668e+00,1.01278e+20,5.30256e-15,3.47225e-15,1.05183e-13,3.87645e-16,3.73285e-14,5.48764e-14,1.67805e-14,2.00912e-30,9.16727e-22
2.20000e-01,1.00000e+13,5.99797e+12,9.86168e+15,1.01341e+20,5.37319e+18,3.51924e+18,6.39335e+19,2.35559e+17,3.73083e+22,5.56144e+19,1.02008e+19,2.06338e+10,9.41466e+18,-3.72202e+22,-6.45068e+19,-1.87555e+19,3.73868e+22,3.73680e+22,9.99668e+00,1.01341e+20,5.30211e-15,3.47268e-15,1.05182e-13,3.87536e-16,3.73311e-14,5.48787e-14,1.67821e-14,2.00912e-30,9.16715e-22
2.30000e-01,1.00000e+13,5.99796e+12,9.85559e+15,1.01404e+20,5.37607e+18,3.52186e+18,6.39725e+19,2.35639e+17,3.73110e+22,5.56513e+19,1.02081e+19,2.06595e+10,9.42624e+18,-3.72229e+22,-6.45492e+19,-1.87650e+19,3.73895e+22,3.73708e+22,9.99668e+00,1.01404e+20,5.30166e-15,3.47311e-15,1.05181e-13,3.87427e-16,3.73337e-14,5.48809e-14,1.67837e-14,2.00912e-30,9.16703e-22
2.40000e-01,1.00000e+13,5.99796e+12,9.84949e+15,1.01467e+20,5.37896e+18,3.52448e+18,6.40114e+19,2.35719e+17,3.73138e+22,5.56882e+19,1.02154e+19,2.06852e+10,9.43783e+18,-3.72255e+22,-6.45916e+19,-1.87744e+19,3.73923e+22,3.73735e+22,9.99668e+00,1.01467e+20,5.30121e-15,3.47354e-15,1.05179e-13,3.87318e-16,3.73364e-14,5.48832e-14,1.67853e-14,2.00912e-30,9.16690e-22
2.50000e-01,1.00000e+13,5.99796e+12,9.84340e+15,1.01530e+20,5.38184e+18,3.52711e+18,6.40504e+19,2.35799e+17,3.73165e+22,5.57251e+19,1.02228e+19,2.07109e+10,9.44943e+18,-3.72282e+22,-6.46340e+19,-1.87839e+19,3.73950e+22,3.73763e+22,9.99668e+00,1.01530e+20,5.30076e-15,3.47397e-15,1.05178e-13,3.87210e-16,3.73390e-14,5.48855e-14,1.67869e-14,2.00912e-30,9.16678e-22
2.60000e-01,1.00000e+13,5.99796e+12,9.83731e+15,1.01594e+20,5.38473e+18,3.52974e+18,6.40894e+19,2.35880e+17,3.73192e+22,5.57620e+19,1.02301e+19,2.07367e+10,9.46105e+18,-3.72309e+22,-6.46765e+19,-1.87934e+19,3.73978e+22,3.73790e+22,9.99668e+00,1.01593e+20,5.30031e-15,3.47440e-15,1.05177e-13,3.87101e-16,3.73416e-14,5.48878e-14,1.67885e-14,2.00912e-30,9.16665e-22
2.70000e-01,1.00000e+13,5.99796e+12,9.83123e+15,1.01657e+20,5.38761e+18,3.53237e+18,6.41285e+19,2.35960e+17,3.73219e+22,5.57990e+19,1.02374e+19,2.07624e+10,9.47269e+18,-3.72335e+22,-6.47190e+19,-1.88029e+19,3.74006e+22,3.73818e+22,9.99668e+00,1.01656e+20,5.29986e-15,3.47483e-15,1.05176e-13,3.86992e-16,3.73442e-14,5.48901e-14,1.67901e-14,2.00912e-30,9.16653e-22
2.80000e-01,1.00000e+13,5.99796e+12,9.82515e+15,1.01720e+20,5.39050e+18,3.53500e+18,6.41676e+19,2.36040e+17,3.73246e+22,5.58360e+19,1.02447e+19,2.07883e+10,9.48434e+18,-3.72362e+22,-6.47615e+19,-1.88123e+19,3.74033e+22,3.73845e+22,9.99668e+00,1.01719e+20,5.29941e-15,3.47526e-15,1.05174e-13,3.86884e-16,3.73469e-14,5.48924e-14,1.67918e-14,2.00912e-30,9.16641e-22
